Tiempo(s),Pitch(rad),Roll(rad),Yaw(rad)
61.12,-0.053,-0.051,-2.094
61.67,-0.053,-0.051,-2.094
61.72,-0.053,-0.052,-2.094
61.77,-0.053,-0.051,-2.094
62.32,-0.053,-0.051,-2.094
62.37,-0.053,-0.052,-2.094
62.42,-0.053,-0.052,-2.094
62.98,-0.053,-0.052,-2.094
63.03,-0.053,-0.052,-2.094
63.58,-0.053,-0.052,-2.094
63.63,-0.053,-0.052,-2.094
63.68,-0.053,-0.051,-2.094
64.23,-0.053,-0.051,-2.094
64.28,-0.053,-0.051,-2.094
64.33,-0.053,-0.051,-2.094
64.88,-0.053,-0.051,-2.094
64.93,-0.053,-0.051,-2.094
65.48,-0.053,-0.051,-2.094
65.53,-0.053,-0.051,-2.094
65.59,-0.053,-0.051,-2.094
66.14,-0.053,-0.051,-2.094
66.19,-0.053,-0.051,-2.094
66.24,-0.053,-0.051,-2.094
66.79,-0.053,-0.051,-2.094
66.84,-0.053,-0.051,-2.094
67.39,-0.053,-0.051,-2.094
67.44,-0.053,-0.051,-2.095
67.49,-0.053,-0.051,-2.095
68.05,-0.053,-0.051,-2.095
68.1,-0.053,-0.051,-2.095
68.65,-0.053,-0.051,-2.095
68.7,-0.053,-0.051,-2.095
68.75,-0.053,-0.051,-2.095
69.3,-0.053,-0.051,-2.095
69.35,-0.053,-0.051,-2.095
69.4,-0.053,-0.052,-2.095
69.95,-0.053,-0.052,-2.094
70.0,-0.053,-0.051,-2.094
70.05,-0.053,-0.051,-2.094
70.6,-0.053,-0.051,-2.094
70.66,-0.053,-0.051,-2.094
70.71,-0.053,-0.051,-2.094
71.26,-0.053,-0.051,-2.094
71.31,-0.053,-0.051,-2.095
71.86,-0.053,-0.051,-2.095
71.91,-0.053,-0.051,-2.095
72.46,-0.053,-0.052,-2.095
72.51,-0.053,-0.051,-2.095
72.56,-0.053,-0.052,-2.094
73.11,-0.053,-0.052,-2.094
73.16,-0.053,-0.052,-2.094
73.22,-0.053,-0.052,-2.095
73.77,-0.053,-0.052,-2.095
73.82,-0.053,-0.052,-2.095
73.87,-0.053,-0.052,-2.095
74.42,-0.053,-0.052,-2.095
74.47,-0.053,-0.052,-2.095
74.52,-0.053,-0.052,-2.095
75.07,-0.053,-0.052,-2.094
75.12,-0.053,-0.052,-2.094
75.67,-0.053,-0.052,-2.094
75.73,-0.053,-0.052,-2.094
76.28,-0.053,-0.052,-2.093
76.33,-0.053,-0.051,-2.094
76.38,-0.053,-0.051,-2.094
76.93,-0.053,-0.052,-2.093
76.98,-0.053,-0.052,-2.093
77.03,-0.053,-0.051,-2.094
77.58,-0.053,-0.052,-2.094
77.63,-0.053,-0.051,-2.094
77.68,-0.053,-0.052,-2.094
78.24,-0.053,-0.052,-2.094
78.29,-0.053,-0.052,-2.094
78.34,-0.053,-0.052,-2.094
78.89,-0.053,-0.052,-2.094
78.94,-0.053,-0.052,-2.094
79.49,-0.053,-0.052,-2.094
79.54,-0.053,-0.052,-2.094
80.09,-0.053,-0.052,-2.094
80.14,-0.053,-0.052,-2.094
80.19,-0.053,-0.052,-2.093
80.75,-0.053,-0.052,-2.093
80.8,-0.053,-0.052,-2.093
80.85,-0.053,-0.052,-2.094
81.4,-0.053,-0.052,-2.094
81.45,-0.053,-0.052,-2.094
81.5,-0.053,-0.052,-2.095
82.05,-0.053,-0.052,-2.095
82.1,-0.053,-0.052,-2.095
82.15,-0.053,-0.052,-2.094
82.71,-0.053,-0.052,-2.094
82.76,-0.053,-0.052,-2.094
83.31,-0.053,-0.052,-2.094
83.36,-0.053,-0.052,-2.094
83.41,-0.053,-0.052,-2.093
83.96,-0.053,-0.051,-2.093
84.01,-0.053,-0.052,-2.093
84.56,-0.053,-0.051,-2.093
84.61,-0.053,-0.052,-2.093
84.66,-0.053,-0.052,-2.092
85.22,-0.053,-0.052,-2.092
85.27,-0.053,-0.052,-2.092
85.32,-0.053,-0.052,-2.092
85.87,-0.053,-0.052,-2.092
85.92,-0.053,-0.052,-2.092
85.97,-0.053,-0.052,-2.092
86.52,-0.053,-0.052,-2.092
86.58,-0.053,-0.052,-2.092
87.13,-0.053,-0.052,-2.092
87.18,-0.053,-0.052,-2.093
87.23,-0.053,-0.052,-2.093
87.78,-0.053,-0.052,-2.093
87.83,-0.053,-0.052,-2.093
88.38,-0.053,-0.052,-2.093
88.43,-0.053,-0.052,-2.094
88.48,-0.053,-0.052,-2.094
89.04,-0.053,-0.052,-2.094
89.09,-0.053,-0.052,-2.093
89.14,-0.053,-0.052,-2.093
89.69,-0.053,-0.052,-2.093
89.74,-0.053,-0.052,-2.093
89.79,-0.053,-0.052,-2.092
90.34,-0.053,-0.052,-2.092
90.39,-0.053,-0.052,-2.092
90.94,-0.053,-0.052,-2.092
90.99,-0.053,-0.052,-2.092
91.55,-0.053,-0.052,-2.091
91.6,-0.053,-0.052,-2.091
91.65,-0.053,-0.052,-2.091
92.2,-0.053,-0.052,-2.091
92.25,-0.053,-0.052,-2.091
92.3,-0.052,-0.052,-2.091
92.85,-0.053,-0.052,-2.091
92.9,-0.052,-0.052,-2.091
92.95,-0.053,-0.052,-2.091
93.5,-0.052,-0.052,-2.091
93.56,-0.053,-0.052,-2.091
94.11,-0.053,-0.052,-2.091
94.16,-0.053,-0.052,-2.091
94.21,-0.053,-0.052,-2.091
94.76,-0.053,-0.052,-2.09
94.81,-0.053,-0.052,-2.09
94.86,-0.053,-0.052,-2.09
95.42,-0.053,-0.051,-2.09
95.47,-0.053,-0.052,-2.09
96.02,-0.053,-0.052,-2.09
96.07,-0.053,-0.052,-2.089
96.12,-0.053,-0.052,-2.089
96.67,-0.053,-0.052,-2.089
96.72,-0.053,-0.052,-2.089
96.77,-0.053,-0.052,-2.089
97.32,-0.053,-0.052,-2.088
97.37,-0.053,-0.052,-2.089
97.42,-0.053,-0.052,-2.089
97.98,-0.053,-0.052,-2.09
98.03,-0.053,-0.052,-2.09
98.58,-0.053,-0.052,-2.09
98.63,-0.053,-0.052,-2.09
98.68,-0.053,-0.052,-2.09
99.23,-0.053,-0.052,-2.09
99.28,-0.053,-0.052,-2.09
99.33,-0.053,-0.052,-2.09
99.89,-0.053,-0.052,-2.09
99.94,-0.052,-0.052,-2.09
100.49,-0.052,-0.052,-2.09
100.54,-0.052,-0.052,-2.089
100.59,-0.052,-0.052,-2.089
101.14,-0.052,-0.052,-2.089
101.19,-0.052,-0.052,-2.089
101.24,-0.052,-0.052,-2.089
101.8,-0.052,-0.052,-2.088
101.85,-0.052,-0.052,-2.088
102.4,-0.052,-0.052,-2.088
102.45,-0.052,-0.052,-2.088
102.5,-0.052,-0.052,-2.088
103.05,-0.052,-0.052,-2.088
103.1,-0.052,-0.052,-2.087
103.15,-0.052,-0.052,-2.087
103.7,-0.052,-0.052,-2.087
103.75,-0.052,-0.052,-2.087
104.3,-0.052,-0.051,-2.087
104.36,-0.052,-0.052,-2.087
104.91,-0.052,-0.052,-2.086
104.96,-0.052,-0.052,-2.086
105.01,-0.052,-0.052,-2.086
105.06,-0.052,-0.052,-2.086
105.61,-0.052,-0.051,-2.086
105.66,-0.053,-0.051,-2.086
106.21,-0.053,-0.052,-2.086
106.26,-0.053,-0.051,-2.085
106.32,-0.053,-0.051,-2.085
106.87,-0.053,-0.051,-2.085
106.92,-0.053,-0.051,-2.085
106.97,-0.053,-0.051,-2.085
107.52,-0.053,-0.051,-2.085
107.57,-0.053,-0.051,-2.085
108.12,-0.053,-0.051,-2.084
108.17,-0.053,-0.051,-2.084
108.22,-0.053,-0.051,-2.084
108.77,-0.053,-0.051,-2.084
108.82,-0.053,-0.051,-2.084
109.37,-0.053,-0.051,-2.084
109.42,-0.053,-0.051,-2.084
109.48,-0.052,-0.051,-2.084
110.03,-0.053,-0.051,-2.084
110.08,-0.053,-0.051,-2.084
110.13,-0.053,-0.051,-2.083
110.68,-0.052,-0.051,-2.083
110.73,-0.052,-0.051,-2.083
110.78,-0.052,-0.051,-2.083
